date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:18	404444/404444	---M--	200	added ('OK')	font/ttf	date:Thu,%2007%20Sep%202017%2020:57:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Linearicons.ttf?4t1dgh	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Lineariconsb312.ttf	(from https://templatemanja.com/tashan/demo/assets/css/linearicons.css)
22:29:19	404520/404520	---M--	200	added ('OK')	font/woff	date:Thu,%2007%20Sep%202017%2020:57:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Linearicons.woff?4t1dgh	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Lineariconsb312.woff	(from https://templatemanja.com/tashan/demo/assets/css/linearicons.css)
22:29:23	404624/404624	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2007%20Sep%202017%2020:57:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Linearicons.eot	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Linearicons.eot	(from https://templatemanja.com/tashan/demo/assets/css/linearicons.css)
22:29:23	404520/404520	---M--	200	added ('OK')	font/woff	date:Thu,%2007%20Sep%202017%2020:57:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Linearicons.woff	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Linearicons.woff	(from https://templatemanja.com/tashan/demo/assets/css/linearicons.css)
22:29:23	1567219/1567219	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2007%20Sep%202017%2020:57:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Linearicons.svg?4t1dgh	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Lineariconsb312.svg	(from https://templatemanja.com/tashan/demo/assets/css/linearicons.css)
22:29:26	6526/6526	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2008%20Mar%202020%2002:26:16%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Flaticon.eot	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Flaticon.eot	(from https://templatemanja.com/tashan/demo/assets/css/flaticon.css)
22:29:26	404444/404444	---M--	200	added ('OK')	font/ttf	date:Thu,%2007%20Sep%202017%2020:57:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Linearicons.ttf	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Linearicons.ttf	(from https://templatemanja.com/tashan/demo/assets/css/linearicons.css)
22:29:27	6526/6526	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2008%20Mar%202020%2002:26:16%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Flaticon.eot?	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Flaticond41d.eot	(from https://templatemanja.com/tashan/demo/assets/css/flaticon.css)
22:29:28	3544/3544	---M--	200	added ('OK')	font/woff2	date:Sun,%2008%20Mar%202020%2002:26:16%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Flaticon.woff2	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Flaticon.woff2	(from https://templatemanja.com/tashan/demo/assets/css/flaticon.css)
22:29:29	4308/4308	---M--	200	added ('OK')	font/woff	date:Sun,%2008%20Mar%202020%2002:26:16%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Flaticon.woff	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Flaticon.woff	(from https://templatemanja.com/tashan/demo/assets/css/flaticon.css)
